full.name,ip.address,region,in.store,age,items,amount
Timmy Buckridge,171.20.252.246,1,1,54,2,577.67
Lilla Hansen,103.145.40.29,3,1,70,6,233.45
Mozelle Nitzsche,,2,0,61,3,7.8557
Chelsey Heaney,,2,0,61,7,98.789
Israel Aimonetti,63.198.110.178,3,1,33,7,723.92
Lacy Ferry,82.108.218.170,3,1,64,5,157.97
Daren Jacobson,21.244.82.41,1,1,26,2,867.2
Julio Leffler,109.129.244.17,1,1,71,5,825.88
Matt Schinner,33.178.245.103,4,1,32,7,895.25
Christian Koss,,2,0,71,1,166.93
Malisa Williamson,135.181.143.83,3,1,47,2,147.64
Jefferson Williamson,247.172.139.21,4,1,29,5,1779.9
Keli Zulauf,4.65.84.17,4,1,55,2,1860.2
Rashad Kulas,,4,0,63,4,2478.8
Garry Dare,165.82.157.242,4,1,45,2,941.78
Santa Kris,,2,0,84,6,473.72
Modesta Douglas,,3,0,49,3,1438.1
Collene Grimes,23.1.217.242,1,1,49,1,1931.5
Maxwell Reilly,156.83.109.15,4,1,36,2,884.4
Quiana Bechtelar,228.86.165.222,4,1,35,4,295.24
Elene Robel,238.158.222.56,1,1,26,6,90.492
Antione Hirthe,46.26.93.183,1,1,46,7,876.99
Hayden Baumbach,,2,0,72,8,74.288
Carmelia Wolff,,4,0,49,2,151.92
Young Lang,,2,0,83,8,252.05
Dwain Barrows,67.145.29.99,3,1,27,5,138.97
Christine Rempel,55.204.50.240,3,1,73,7,881.48
Joseph Stark,,2,0,51,5,391.63
Andreas Funk,215.219.143.68,1,1,42,3,848.48
Justin Kris,,2,0,79,2,334.75
Kareem Block,,2,0,59,3,425.4
Brittni Becker,,2,0,70,3,396.39
Nathanael Sipes,,2,0,58,6,94.179
Camellia Haley,65.217.114.172,4,1,37,6,932.36
Earlean Rippin,20.250.130.204,3,1,54,6,635.85
Sherman Schaden,,3,0,18,7,1913.0
Sterling Russel,64.237.236.210,1,1,43,6,1816.6
Avery Wintheiser,79.46.234.234,1,1,28,4,346.6
Tanya Zulauf,231.88.225.71,4,1,23,1,787.04
Isiah Greenholt,,2,0,47,3,366.59
Troy Monahan,173.218.222.186,3,1,58,5,437.24
Cecile Reilly,,2,0,64,3,254.33
Ahmed McGlynn,72.254.67.194,1,1,40,8,483.71
Graciela Strosin,17.113.52.87,3,1,69,3,853.6
Marielle Bernhard,147.161.9.244,1,1,56,1,669.13
Elease Nicolas,243.1.232.156,1,1,65,4,386.28
Maddie Barrows,,2,0,30,2,460.76
Modesto Beahan,,2,0,37,7,358.55
Lynwood Luettgen,,4,0,19,8,960.17
Madge King,,3,0,56,6,2860.3
Mahalia Cartwright,,4,0,35,6,243.44
Herschel Marquardt,,4,0,32,3,553.64
Chris Klein,140.239.184.17,3,1,37,4,532.46
Daron Funk,121.62.223.46,3,1,31,6,440.51
Fidelia Reynolds,,2,0,53,3,358.4
Everette Keeling,,2,0,69,3,63.05
Providencia Wolf,204.227.203.68,3,1,38,3,473.53
Ta Bednar,151.106.75.217,4,1,20,8,1642.3
Elena Hane,66.103.97.80,1,1,28,3,759.93
Hang Kunde,,2,0,30,3,89.388
Angel Mohr,55.249.236.53,3,1,44,4,415.76
Scarlet Denesik,,4,0,36,6,1904.4
Yajaira Kessler,59.152.74.136,3,1,33,3,752.83
Ivan Jenkins,,2,0,56,8,299.8
Bradly Upton,64.37.87.107,4,1,44,6,1044.7
Wilda Stehr,,2,0,84,4,64.083
Claud Bartoletti,,3,0,28,6,1154.9
Victor Labadie,108.254.121.22,3,1,65,2,556.7
Tommie Grant,,2,0,58,3,393.68
Arminda Schultz,238.238.217.160,3,1,57,5,577.77
Adam Wyman,,4,0,32,2,2891.6
Edda Treutel,226.7.205.16,4,1,40,5,1147.6
Colby Willms,49.210.159.240,4,1,36,3,1961.8
Julius Littel,29.59.46.229,3,1,36,1,69.72
Samual Lebsack,,3,0,19,3,754.33
Agatha White,153.29.100.150,4,1,20,6,818.99
Debora Harris,,2,0,81,4,84.477
Cari Torphy,,4,0,48,4,1356.3
Sunday Pfeffer,,2,0,61,6,230.4
Orpha Langosh,246.26.97.45,1,1,48,2,1622.8
Gavin Schmeler,,2,0,44,4,190.12
Isaac Altenwerth,,4,0,20,3,2737.0
Vita Ziemann,,3,0,57,3,2039.6
Debora West,128.215.192.6,1,1,24,4,703.08
Leigh Lowe,,4,0,34,8,1485.6
Lolita Deckow,,4,0,31,2,542.04
Mathew White,,4,0,41,3,1881.8
Dan Boehm,,2,0,38,6,5.4862
Kaitlyn Hilpert,,2,0,36,4,71.569
Darrin Sporer,129.136.129.166,1,1,25,2,1703.1
Luella Kutch,,2,0,69,2,304.18
Ramon Torphy,172.127.44.133,4,1,46,6,1187.8
Lou Keebler,,2,0,29,6,477.39
Dimple Runolfsdottir,10.144.46.158,1,1,68,7,493.28
Zella Powlowski,,4,0,47,3,1510.5
Manuel Willms,170.224.32.132,4,1,53,4,1793.1
Bennett Toy,,3,0,36,4,2565.9
Lester Leannon,249.105.112.225,1,1,69,2,604.29
Deshawn Tillman,57.13.61.188,4,1,50,6,371.61
Emery Anderson,,3,0,53,5,2236.4
Zackary Casper,129.242.223.220,3,1,64,7,950.59
Beata Franecki,2.46.170.101,1,1,48,4,852.17
Irma Schinner,,3,0,57,5,2556.2
Cleveland Auer,,2,0,50,3,100.03
Marylyn Feeney,,3,0,43,4,230.41
Amos Nitzsche,181.118.123.179,4,1,54,1,1992.4
Kurtis Rutherford,42.228.204.222,3,1,70,4,371.37
Alecia Sanford,,4,0,18,6,1508.2
Santiago Mraz,,4,0,35,2,1864.3
Lashandra Leuschke,60.250.99.242,4,1,21,7,1191.2
Kristal Halvorson,54.195.51.222,1,1,68,7,405.51
Evelyn Abshire,143.8.193.93,4,1,28,7,944.58
Fletcher Schumm,100.97.248.79,1,1,42,4,380.73
Esta Cummings,89.66.119.143,1,1,49,6,975.6
Mitch Green,206.94.42.193,4,1,26,8,960.58
Laurie Kuhn,,4,0,48,6,1118.8
Lori Larson,,4,0,31,5,2303.1
Eric Schaefer,254.61.169.191,3,1,73,1,358.87
Reda Kertzmann,,4,0,48,2,2835.8
Theodora Wyman,228.59.250.47,1,1,54,5,331.86
Domitila Cormier,216.224.185.186,4,1,20,6,816.94
Samantha Welch,135.154.245.70,4,1,28,5,1492.5
Tom Legros,36.101.72.223,1,1,37,4,1787.0
Alfonso O'Keefe,,2,0,71,2,464.36
Enrique Gleason,,4,0,62,3,2599.5
Libbie Kreiger,85.201.107.130,4,1,27,6,1396.4
Farrah Batz,,2,0,33,8,372.3
Maira Vandervort,,4,0,23,7,227.54
Ebonie Volkman,,2,0,28,3,145.7
Freddie Carroll,39.199.23.19,1,1,73,1,587.95
Meghann Watsica,,2,0,41,3,107.98
Roland Bahringer,41.25.246.144,4,1,25,3,1972.2
Veda Kuphal,165.36.166.228,4,1,45,6,1751.8
Gus Emard,163.98.132.67,4,1,31,2,1955.8
Don Moen,174.214.150.174,4,1,39,1,479.09
Emilio Fay,,2,0,38,2,308.98
Usha VonRueden,,2,0,65,3,33.194
Florentino Hills,44.68.85.87,1,1,33,7,166.75
Clarence Mertz,,2,0,79,7,319.82
Lester Grant,47.252.98.22,4,1,37,7,1177.6
Elvis Ferry,15.17.21.240,1,1,45,2,491.12
Wen Weber,129.4.218.61,1,1,62,4,892.21
Oralia Gutmann,15.50.29.112,4,1,44,5,854.33
Jonathan Upton,225.223.208.193,4,1,52,1,1518.6
Luana Johnson,,3,0,51,2,232.97
Hank Luettgen,,2,0,56,5,35.122
Brad Corkery,112.14.127.39,3,1,47,5,338.95
Madge Abshire,233.206.20.229,1,1,42,5,710.63
Samual McKenzie,,2,0,83,6,141.47
Bok Braun,128.185.24.230,3,1,42,6,673.87
Loris Cassin,215.107.249.101,4,1,44,5,1723.2
Brenton Bradtke,,4,0,44,7,2744.4
Delilah Williamson,242.10.235.247,4,1,27,2,358.36
Amado Wyman,46.188.16.3,1,1,44,4,699.5
Maryrose Gislason,,4,0,48,7,2916.8
Vito Auer,,4,0,60,4,2721.3
Laquanda Raynor,101.184.69.219,4,1,35,2,923.18
Fernando Beahan,,2,0,53,1,231.81
Frieda Mills,,2,0,39,8,411.36
Waldo Goodwin,78.27.136.73,3,1,36,6,259.35
Jospeh Flatley,64.114.146.52,4,1,45,4,944.34
Donnie Predovic,11.170.70.37,4,1,37,3,1765.4
Carolina Monahan,183.194.47.166,4,1,32,4,975.31
Sabina Huel,173.219.44.169,1,1,54,2,599.89
Donette Krajcik,,2,0,41,5,290.4
Gilberto Koch,,4,0,31,8,867.73
Shawanda Huel,183.188.220.94,3,1,70,3,937.87
Erwin Crooks,60.40.103.1,1,1,65,7,947.68
Donald Lockman,,2,0,44,2,34.684
Hana Wyman,214.82.49.217,1,1,41,1,242.73
Everette Nikolaus,174.140.104.164,1,1,56,7,557.46
Claudie Smith,35.168.248.39,1,1,21,2,1552.6
Jani Sawayn,,2,0,56,1,258.86
Dennise Mills,186.47.130.201,1,1,25,7,236.99
Barney Dibbert,20.148.14.148,1,1,70,2,448.18
Roselee Mitchell,249.161.241.79,4,1,25,2,1699.9
Lenard Watsica,77.63.90.9,4,1,52,3,439.51
Chaya Zulauf,107.243.55.132,3,1,49,7,983.12
Mack Greenholt,,2,0,55,7,364.26
Marlon Kling,37.42.200.195,4,1,44,7,85.559
Frederic Lindgren,,2,0,39,7,379.64
Otha Wilkinson,219.68.40.68,3,1,56,7,275.58
Alberta O'Conner,193.188.181.112,4,1,44,5,193.54
Tyree Nader,,3,0,62,8,2312.6
Ayana Stehr,13.46.248.173,3,1,73,6,699.78
Mickie Kozey,241.122.179.106,1,1,43,5,1920.6
Alvaro Keebler,131.29.157.220,4,1,32,7,227.88
Harvey Cassin,,4,0,24,3,831.04
Courtney Runolfsdottir,105.30.181.104,4,1,38,6,889.92
Janyce Nitzsche,,3,0,37,7,1903.6
Marx Gleason,,2,0,69,4,368.09
Leigh Hettinger,,2,0,62,2,188.09
Queen Sawayn,,2,0,47,7,196.43
Mitch Morar,103.69.76.11,3,1,54,7,435.36
Leola Bartell,,2,0,38,6,262.73
Justina Baumbach,31.174.156.32,1,1,37,4,279.77
Yuriko O'Conner,,2,0,75,4,200.88
Racheal Adams,51.81.44.137,3,1,70,8,653.15
Aleta Miller,138.254.36.95,3,1,72,4,751.71
Wilford Mann,88.8.26.140,3,1,34,5,87.399
Herbert Krajcik,82.179.160.127,4,1,28,8,1729.7
Pamala Hills,121.137.240.137,3,1,57,5,501.67
Irving Morar,72.162.130.179,1,1,44,5,535.09
Tommye Bergnaum,,4,0,23,4,904.14
Lawrence Mraz,,4,0,35,4,2620.5
Alejandro Jacobs,128.90.181.197,1,1,24,4,804.09
Madelene Connelly,,2,0,70,5,361.94
Carolee Lind,,2,0,55,2,241.51
Elissa Lehner,,2,0,31,3,380.26
Porter Johns,158.5.98.52,1,1,27,7,969.84
Deon Lehner,99.223.158.10,1,1,71,6,839.85
Emil Johnson,,2,0,61,4,352.08
Ermelinda Jones,76.90.101.181,1,1,48,6,1797.7
Alverta Morar,,2,0,67,2,220.67
Floyd Lindgren,,4,0,59,3,2842.1
Boyd Brakus,,4,0,28,5,2735.1
Mitch McDermott,233.145.85.146,3,1,39,7,365.22
Tyson Robel,,2,0,79,3,26.422
Christine Kessler,249.55.182.29,4,1,48,7,320.03
Marilynn Ledner,197.23.86.185,3,1,29,3,93.167
Gregory Feest,122.35.190.95,4,1,25,2,1823.3
Shemeka Watsica,,4,0,31,6,2450.8
Garnett Becker,,4,0,19,2,1305.2
Donnie O'Reilly,,2,0,66,7,121.48
Rafaela Jakubowski,,2,0,78,3,131.34
Carlotta Weber,175.34.88.78,1,1,64,1,641.46
Elma Thiel,142.243.41.169,1,1,44,3,1863.3
Brady Lemke,160.56.205.233,1,1,21,5,1019.3
Mary D'Amore,,2,0,79,4,411.37
Orlando Bosco,,2,0,75,7,184.97
Melodi Greenfelder,253.212.35.106,4,1,49,6,1753.5
Arlie Jaskolski,9.235.119.35,1,1,62,6,182.61
Abram Bauch,,4,0,61,5,2108.2
Rickey Gutkowski,,2,0,85,1,110.29
Maura Carter,,2,0,42,8,227.53
Jene Greenholt,89.178.138.239,3,1,56,4,727.98
Estell Hintz,,2,0,84,4,339.27
Vena Huels,192.23.33.199,3,1,63,4,826.55
Dirk Hansen,221.255.151.172,1,1,45,5,197.11
Clay Spencer,,3,0,51,5,1221.3
Cherry Conn,201.114.16.21,4,1,46,5,1864.9
Kevin Mayert,46.67.77.199,1,1,34,1,87.062
Theodore Fisher,,4,0,59,7,1206.3
Jennie Volkman,,2,0,51,5,472.64
Beverly Gleason,176.39.214.213,4,1,31,5,1773.0
Sheldon Heller,,2,0,58,2,92.43
Jefferey Kulas,,2,0,64,6,445.28
Nanette Leffler,223.15.21.211,4,1,24,6,1026.6
Timmy Miller,43.114.67.218,1,1,41,5,743.13
Marcell Dooley,,3,0,40,6,1741.3
Paz Altenwerth,,2,0,72,3,348.88
Toshiko Morar,,3,0,59,1,489.21
Freeman Hilpert,111.227.182.86,4,1,27,3,958.93
Desmond Windler,,4,0,61,7,246.87
Cinda Ortiz,,2,0,63,5,363.12
Desmond Funk,250.24.235.197,4,1,40,6,870.3
Ryann Cole,,2,0,56,4,224.44
Ward Schuppe,,2,0,36,8,98.938
Renate Kuhn,232.10.144.119,4,1,39,2,174.35
Doreen Schiller,148.255.152.68,1,1,45,7,795.34
Fay Ziemann,,2,0,56,5,8.5569
Kurt Sipes,,3,0,40,8,970.75
Loralee Bergnaum,160.214.103.158,1,1,27,7,1288.0
Alonso Krajcik,,3,0,38,6,560.17
Nelson Zieme,,4,0,21,2,1502.5
Jamar Bosco,,3,0,61,2,264.01
Richard Koch,196.135.135.209,4,1,55,1,855.52
Susanne Kuhlman,,2,0,47,2,281.68
Sondra Orn,13.92.106.156,3,1,53,6,513.05
Marcelino Sauer,173.8.82.224,1,1,49,5,877.5
Jared McLaughlin,,2,0,68,8,335.24
Hunter Ledner,81.223.90.49,4,1,20,6,819.4
Ines Walker,177.63.21.248,4,1,30,3,95.838
Delbert Abshire,243.72.164.44,4,1,53,8,1443.2
Marylouise Ferry,,2,0,63,4,152.81
Vern Aufderhar,185.94.170.15,1,1,27,2,303.53
Olivia Graham,168.97.143.111,4,1,31,2,576.89
Clemmie Miller,,2,0,72,2,72.896
Katie Klein,,2,0,40,8,143.11
Claudia Marquardt,,4,0,31,5,2148.5
Lakenya Boyer,,4,0,61,5,1291.0
Jamel Luettgen,,2,0,51,8,84.882
Breanna Hammes,,2,0,55,8,120.97
Korey Schultz,103.243.116.99,3,1,52,8,72.622
Demetrice Swaniawski,226.207.149.25,3,1,60,3,177.1
Clifton Paucek,33.117.158.9,1,1,53,4,867.54
Shanda Osinski,51.212.11.179,1,1,22,6,570.5
Berneice Trantow,13.142.2.57,3,1,32,2,511.41
Marcos Okuneva,,4,0,52,4,1086.5
Burton Toy,,3,0,30,4,292.65
Steve Langosh,,4,0,56,1,590.41
Emmanuel Borer,161.83.85.138,1,1,53,4,1202.7
Albert Zulauf,,3,0,30,8,2607.3
Sarita Collins,8.50.254.180,4,1,47,3,660.83
Bill Wolf,231.197.90.51,1,1,35,4,775.46
Edgar Parker,241.64.163.130,4,1,39,7,939.55
Valene Bernhard,79.91.137.122,1,1,55,1,1104.1
Cassey Kreiger,,3,0,30,6,470.17
Roberto Lueilwitz,142.55.221.70,4,1,27,1,98.333
Nu Howe,,2,0,36,5,400.1
Mauricio Murray,,4,0,55,4,2050.6
Rosalie Watsica,85.135.158.195,1,1,59,2,169.9
Jarrod Wintheiser,,4,0,22,4,1934.2
Huey Kertzmann,,4,0,33,3,2886.3
Heath Stokes,,2,0,55,3,258.07
Toby Murazik,102.69.221.151,4,1,28,3,1044.1
Helaine Jerde,,4,0,20,8,1268.0
Philip Witting,,2,0,76,2,337.09
Neda Gibson,,4,0,19,7,1114.8
Yuk Hirthe,,2,0,50,7,140.3
Modesto Bradtke,,4,0,40,1,228.43
Barry Rogahn,124.62.152.53,4,1,27,7,1711.4
Melodee Schroeder,,2,0,76,4,162.03
Francene Graham,,2,0,69,2,215.96
Dulcie Brown,104.222.109.4,4,1,47,2,247.54
Pamelia Boyle,170.236.234.185,1,1,33,2,563.09
Kasandra Jacobs,,2,0,37,2,218.66
Rosenda Nicolas,,2,0,48,6,433.35
Clay Gorczany,111.238.219.235,3,1,45,5,231.26
Macie Emard,,4,0,62,1,1892.9
Tama Herman,,2,0,50,2,219.36
Ina Veum,,4,0,18,6,222.17
Gussie Wyman,,3,0,52,2,2974.6
Barrett Braun,,3,0,32,7,2125.3
Socorro Simonis,216.111.99.90,4,1,33,7,279.35
Devin Gibson,130.146.206.171,1,1,52,4,70.341
Earle Walter,,2,0,32,8,25.111
Randal Daugherty,,3,0,61,6,2888.9
Jerald Hirthe,147.118.140.67,4,1,33,2,1844.9
Nathan Russel,210.96.37.43,4,1,28,1,815.81
Belle Wintheiser,,2,0,44,5,315.05
Terry Haley,44.100.85.233,1,1,37,6,1203.2
Rickie Weissnat,220.48.112.230,1,1,24,8,952.21
Dimple Heller,,2,0,69,4,491.39
Royal McDermott,194.213.52.46,1,1,42,3,828.04
Maurice Prosacco,104.245.191.49,4,1,52,3,1020.2
Alphonse Feeney,127.169.237.212,3,1,25,6,550.59
Denny Legros,,4,0,41,8,2153.4
Fritz O'Reilly,106.109.21.94,1,1,39,7,178.99
Tuan McDermott,,3,0,44,4,535.29
Cathryn Ryan,110.18.208.46,1,1,35,6,645.39
Melaine Jenkins,188.212.100.250,4,1,41,6,391.01
Teodoro Greenholt,,2,0,84,6,20.889
Alla Bechtelar,,2,0,57,3,154.28
Willena Dibbert,,4,0,35,4,904.13
Mohammed Jenkins,,4,0,50,5,1320.1
Josephina Jacobs,170.140.18.191,1,1,26,4,412.31
Georgene Dicki,180.28.177.236,1,1,48,7,205.76
Salvatore Ankunding,185.201.250.155,4,1,28,7,1730.8
Edwardo Waters,,4,0,38,7,1546.5
Charles Hane,10.155.51.12,4,1,24,2,806.29
Jonelle Ritchie,210.248.24.221,1,1,54,7,690.97
Dawne Bins,145.123.67.45,1,1,30,6,777.29
Soo Mohr,209.97.179.45,1,1,36,7,393.84
Tess Fisher,,2,0,49,7,123.55
Ngoc Hirthe,177.244.6.251,1,1,54,5,663.03
Cristopher Roob,110.12.167.147,3,1,49,8,901.32
Lacy Borer,153.162.250.39,4,1,30,7,616.32
Alyse Rolfson,,4,0,60,5,2599.6
Numbers Schulist,237.68.125.128,1,1,71,7,183.89
Kazuko Schultz,28.130.208.124,1,1,55,2,814.5
Sonny Grimes,194.195.204.221,4,1,53,6,1893.7
Marylin Hoppe,,4,0,32,8,2669.7
Chas Ziemann,,4,0,61,4,2794.5
Leigh Hagenes,,2,0,42,6,150.12
Audrea Wehner,,3,0,45,2,939.08
Isaiah Jerde,160.10.75.165,1,1,20,3,1696.9
Lenny Schowalter,90.230.61.149,1,1,48,7,683.07
Bee Considine,69.63.237.61,1,1,38,1,1070.2
Maragaret Quigley,,2,0,59,4,463.23
Dakota Deckow,148.229.199.86,3,1,66,3,243.03
Errol Stamm,222.105.37.36,4,1,20,6,1290.8
Maria Bins,,2,0,61,6,158.38
Tori Grant,,3,0,63,8,254.29
Wilber Simonis,,2,0,34,2,248.43
Taylor Graham,,2,0,32,5,425.44
Chae Mayer,,2,0,83,7,307.89
Isaac Ziemann,172.2.16.238,3,1,52,1,728.35
Shanelle Batz,,3,0,55,1,1271.2
Florencia Kulas,,2,0,37,7,267.17
